u,v,w,p,q,r
nan,4.050849232510403408e-01,-1.851034556929519459e-01,nan,5.143045844663202137e-02,-2.854713578956653494e-03
4.050849232510403408e-01,1.648824853943034441e+01,1.049874374196176630e-01,2.649790587432853783e+00,1.864980242097027952e-02,7.806104241382560982e-02
-1.851034556929519459e-01,1.049874374196176630e-01,-1.100519060667797255e+01,4.508271424090212420e+00,1.241871981500502486e-01,-3.381654606860547141e-02
nan,2.649790587432853783e+00,4.508271424090212420e+00,nan,-5.980483669016221915e-02,4.379301725053944688e-02
5.143045844663202137e-02,1.864980242097027952e-02,1.241871981500502486e-01,-5.980483669016221915e-02,1.339933703307049362e-01,3.595685397146796726e-03
-2.854713578956653494e-03,7.806104241382560982e-02,-3.381654606860547141e-02,4.379301725053944688e-02,3.595685397146796726e-03,1.228419709668994442e-01
