u,v,w,p,q,r
nan,4.050849232510403408e-01,-1.851034556929519459e-01,nan,5.143045844663202137e-02,-2.854713578956653494e-03
nan,1.648824853943034441e+01,-1.058271575469704184e-01,nan,-1.704715211035508562e-02,1.824968178748195557e-01
nan,3.158020323862057444e-01,-1.100519060667797255e+01,nan,2.160806363616495362e-01,2.692369025821789857e-02
nan,2.649790587432853783e+00,4.508271424090212420e+00,nan,-5.980483669016221915e-02,4.379301725053944688e-02
nan,5.434675695229564812e-02,3.229375993845094717e-02,nan,1.339933703307049362e-01,1.144963171818490395e-02
nan,-2.637473304716834305e-02,-9.455678239542883445e-02,nan,-4.258260923891310501e-03,1.228419709668994442e-01
