wrench/dof,u,v,w,p,q,r
X,14.0292390851258,0,-0.14083965481196956,0,-0.17150142521654479,0
Y,0,20.233099683001349,0,0.14222386213843519,0,0.012446627593989928
Z,0.086838082513725753,0,35.182177586744508,0,0.17775974324087429,0
K,0,0.1058181447342043,0,0.13820181274218257,0,-0.0059463047150575257
M,-0.18414427688466561,0,0.25483374256487107,0,0.41629928926014775,0
N,0,0.0053762429230806794,0,-0.0057000074285008086,0,0.16124301535435814
