wrench/dof,u,v,w,p,q,r
X,19.156400732347958,0,5.9970509997184909,0,-1.2986175035039216,0
Y,0,20.179326722140615,0,0.51058324267783517,0,-1.2236266494438142
Z,-8.2684161720453471,0,121.92233615421949,0,5.8789406116926726,0
K,0,0.81200632023836683,0,0.21586355744974428,0,-0.04006988036583288
M,0.15430673206277379,0,1.0724681601943584,0,0.41724420897407782,0
N,0,1.1722883012469791,0,-0.023617873593254603,0,0.2746866664459876
