wrench/dof,u,v,w,p,q,r
X,4.5515929938602371,0,-8.1836314789839708,0,0.62840921962695195,0
Y,0,2.7623837978550259,0,-0.22921509544938784,0,0.24243019649552772
Z,4.9548146207601169,0,-31.263432878986865,0,0.69195703493321725,0
K,0,-0.35619703758719873,0,0.020291104481733348,0,0.048760632371121007
M,-1.0285138580579574,0,-3.1979413934969325,0,0.2328523494608799,0
N,0,0.33119273735929783,0,-0.016809364852012298,0,0.11835883320637589
