wrench/dof,u,v,w,p,q,r
X,0.03553000206295201,0,0.010364354440223579,0,-0.30755672559467867,0
Y,0,0.18717109457664613,0,0.53267862837653268,0,-0.037982769191195795
Z,0.00012922990208127051,0,0.24496648245129496,0,0.84865528255544154,0
K,0,0.0021485664988390926,0,0.10038527381685472,0,-0.0014308824296696923
M,-0.00022449468623937264,0,-0.0026183716547347152,0,0.32767678257381783,0
N,0,-0.00094340875399597976,0,-0.0040022630237001458,0,0.12282806493284661
