wrench/dof,u,v,w,p,q,r
X,1.3723506170367676,0,-0.17095255104448612,0,0.20750672827061875,0
Y,0,8.3324958882395723,0,-0.17898175347447337,0,0.0058105868888697915
Z,0.0032402975892446731,0,20.385343945488604,0,0.69096596429580559,0
K,0,0.11809151328440801,0,0.089354214266427937,0,-0.00048405641825259035
M,-0.0037828059143367124,0,0.79109687301642218,0,0.27004561093721446,0
N,0,-0.027579701542913563,0,-0.0022280819930357173,0,0.13135997076980596
