wrench/dof,u,v,w,p,q,r
X,13.110917776333309,0,0.040940843806679852,0,-0.19028958457682571,0
Y,0,19.421432340568415,0,0.1018336947283784,0,-0.020128072008992928
Z,0.040940843806679852,0,34.868575331565047,0,0.18475186655260162,0
K,0,0.1018336947283784,0,0.13046760132371743,0,-0.0024155461275888741
M,-0.19028958457682571,0,0.18475186655260162,0,0.41330553660405245,0
N,0,-0.020128072008992928,0,-0.0024155461275888741,0,0.16679851568378365
