sensor_to_motion_shift_s,dof,added_mass,linear_damping_effective,quadratic_damping,nuisance_restoring,r2
-0.05,sway,5.787041401689512,-0.7417508496487955,-34.51597147454167,0.15522344645263358,0.9125914613373697
-0.05,heave,11.052316090080934,7.900274772294683,-58.730671413643655,3.9431538748429,0.9290642254401864
-0.05,pitch,0.047734601831579355,0.08735415458598839,-0.4052274642098215,0.022750254797178,0.9175446435468966
-0.05,yaw,0.027261256041397692,0.0420690001874022,-0.33254398501541366,-0.03379627749732686,0.9060501298142156
0.0,sway,6.41312611066381,-1.2962682750143437,-8.635177729473837,2.247099837005576,0.9424038539925341
0.0,heave,11.569459227419353,8.502780517591093,-23.417546728148466,6.608731305537137,0.9389545585789164
0.0,pitch,0.057726146122463316,0.1068125928965157,-0.33807681704111636,0.06608065655576152,0.9563598695182238
0.0,yaw,0.03736190377829378,0.07006274879662897,-0.2974208829175569,0.0053697337855375445,0.9302683676031389
0.05,sway,6.466215636771834,-1.9996413763741698,18.51533545124288,2.5525038672031726,0.9508657005845034
0.05,heave,10.93919694234157,8.762084378063639,5.255380996415138,5.514986801266871,0.9451847776153228
0.05,pitch,0.063129121531737,0.0957665306467516,-0.2029472954890723,0.09357946900670423,0.9878920658534914
0.05,yaw,0.043674057530315225,0.06640506383603538,-0.1930395762861682,0.03244048168905914,0.9664030691809107
