dof,repeat,nominal_frequency_hz,estimated_frequency_hz,mean_forward_speed_m_s,fundamental_velocity_amplitude,fundamental_wrench_amplitude,fluid_wrench_per_velocity_in_phase,equivalent_direct_D_at_trial_amplitude,coefficient_units,fundamental_mean_fluid_power_W
pitch,3,0.7,0.6928425777777778,0.20134913416237601,0.7630300340530601,0.205665919817442,0.12697054852239842,-0.12697054852239842,N*m*s,0.03696206834350065
yaw,1,0.1,0.09697741851851852,0.2015878844902356,0.1107258528571904,0.028065198312243307,-0.03139036402308776,0.03139036402308776,N*m*s,-0.00019242629793606223
yaw,1,0.2,0.1980309851851852,0.20159374613409697,0.21819708362966653,0.007733968700259007,-0.012222871371074985,0.012222871371074985,N*m*s,-0.00029096525317194377
yaw,1,0.3,0.29706583333333336,0.20159367847288945,0.327256791153462,0.021347746930264654,-0.0045440478444579565,0.0045440478444579565,N*m*s,-0.00024332696271210267
yaw,1,0.4,0.3960247851851852,0.201592425599124,0.4360890050443625,0.04311432983555652,0.023555815194946907,-0.023555815194946907,N*m*s,0.002239847327612815
yaw,1,0.5,0.4950732407407407,0.20159183715455786,0.5481673978790949,0.0728678382446934,0.05779967438836111,-0.05779967438836111,N*m*s,0.008684039716105808
yaw,1,0.6,0.5941300444444445,0.2015971427776086,0.6534195105318485,0.112457708305914,0.09567758113469176,-0.09567758113469176,N*m*s,0.02042510921881134
yaw,1,0.7,0.6928336074074074,0.2015919964448726,0.7630247381549237,0.17107518556240287,0.15231258202763248,-0.15231258202763248,N*m*s,0.04433870676213577
yaw,2,0.1,0.09783702222222224,0.20158838949215996,0.11006398594382895,0.009825210029168838,-0.04810588720566283,0.04810588720566283,N*m*s,-0.0002913793071374702
yaw,2,0.2,0.198024362962963,0.20159364042277378,0.21818247689493694,0.007643903627459367,-0.022382796453333586,0.022382796453333586,N*m*s,-0.0005327507687901494
yaw,2,0.3,0.2970670222222222,0.20159367146017415,0.3272608210652948,0.020911202105772454,-0.003324986406928826,0.003324986406928826,N*m*s,-0.00017805243191315148
