wrench\velocity,u,v,w,p,q,r
X,nan,0.0,2.952664191660393,0.0,-0.17249987012875487,0.0
Y,0.0,-8.635177729473837,0.0,nan,0.0,0.28757245649289614
Z,nan,0.0,-23.417546728148466,0.0,-0.15449550544359725,0.0
K,0.0,-0.42379926757849745,0.0,nan,0.0,0.049727024818604346
M,nan,0.0,0.6430051600734141,0.0,-0.33807681704111636,0.0
N,0.0,-0.30007990725157385,0.0,nan,0.0,-0.2974208829175569
