wrench\velocity,u,v,w,p,q,r
X,nan,0.40739810170607466,0.2287414690970029,nan,-0.037985994194958635,-0.0018896221742780914
Y,nan,6.41312611066381,0.014077965357481636,nan,0.010469825037691368,0.10894960654166273
Z,nan,0.273483864058372,11.569459227419353,nan,-0.1123019474672985,0.024074710276657398
K,nan,2.696032338309041,4.637016217852943,nan,-0.029758287738967965,0.03561409980385087
M,nan,0.0579065771742522,0.10201821947237817,nan,0.057726146122463316,0.012024737883703413
N,nan,-0.0384584350174406,-0.09718130992504453,nan,-0.009480973841253815,0.03736190377829378
