wrench\velocity,u,v,w,p,q,r
X,nan,nan,nan,nan,nan,nan
Y,nan,6.41312611066381,nan,nan,nan,nan
Z,nan,nan,11.569459227419351,nan,nan,nan
K,nan,nan,nan,nan,nan,nan
M,nan,nan,nan,nan,0.057726146122463316,nan
N,nan,nan,nan,nan,nan,0.03736190377829378
