wrench\velocity,u,v,w,p,q,r
X,0.0,0.0,-0.6861438868439226,0.0,-0.002547930753681242,0.0
Y,0.0,-1.2962682750143437,0.0,nan,0.0,0.658973854040218
Z,nan,0.0,8.502780517591093,0.0,-0.38746770592310714,0.0
K,0.0,-0.2729988450444271,0.0,nan,0.0,0.4067393188954801
M,nan,0.0,-0.5516420744086648,0.0,0.1068125928965157,0.0
N,0.0,0.3271275648493357,0.0,nan,0.0,0.07006274879662897
