dof,units,length_scale_exponent,cfd_target_scale,cfd_scaled_to_pmm_model,corrected_pmm,pmm_minus_scaled_cfd,relative_difference_percent
sway,kg,3,20.23309968300135,6.939953191269461,6.41312611066381,-0.526827080605651,-7.591219509497634
heave,kg,3,35.18217758674451,12.067486912253363,11.569459227419353,-0.4980276848340104,-4.127020716536362
pitch,kg*m^2,5,0.41629928926014775,0.069967421545953,0.057726146122463316,-0.01224127542348969,-17.495678921724878
yaw,kg*m^2,5,0.16124301535435814,0.027100113590606965,0.03736190377829378,0.010261790187686814,37.86622573878658
