dof,repeat,file_id,nominal_frequency_hz,estimated_frequency_hz,motion_r2,forward_r2,paired_samples,gather_rows,sensor_rows,mean_towing_speed_m_s,excited_coordinate_fundamental_amplitude,excited_velocity_fundamental_amplitude,gather_file,sensor_file
sway,3,10,0.3,0.29705705555555556,0.9999979764001976,0.999999999998833,700,1207,6100,0.20160784325597664,0.10129131748879083,0.18905665097181268,pure_sway3/gather_10.csv,pure_sway3/sensor_10.csv
sway,3,11,0.4,0.3960322962962963,0.9999915372960511,0.9999999999989063,700,1207,6100,0.20160784561832615,0.10124180312009358,0.25192446424788345,pure_sway3/gather_11.csv,pure_sway3/sensor_11.csv
sway,3,12,0.5,0.49506935185185186,0.9999999681543587,0.9999999999988479,700,1207,6100,0.20160786457323268,0.10180305997586016,0.31666986861780244,pure_sway3/gather_12.csv,pure_sway3/sensor_12.csv
sway,3,13,0.6,0.5941254666666667,0.9999230872643351,0.999999999998912,700,1207,6100,0.20160784449832053,0.10111916620019509,0.3774778881542291,pure_sway3/gather_13.csv,pure_sway3/sensor_13.csv
sway,3,14,0.7,0.6928408925925926,0.999754994303682,0.9999999999989624,700,1207,6300,0.20160784534972395,0.10125880745013505,0.4408046723129745,pure_sway3/gather_14.csv,pure_sway3/sensor_14.csv
heave,1,8,0.1,0.09738968518518519,0.9999999795304754,0.9999999999989152,700,1207,6000,0.20160784052924335,0.10424034471952312,0.06378648478399862,vertical_sway1/gather_8.csv,vertical_sway1/sensor_8.csv
heave,1,9,0.2,0.19803224444444445,0.9999996438695864,0.9999999999988806,700,1207,6100,0.20160785426815314,0.1013032956886022,0.12604898487664176,vertical_sway1/gather_9.csv,vertical_sway1/sensor_9.csv
heave,1,10,0.3,0.2970570777777778,0.999997975984824,0.9999999999989412,700,1207,6100,0.2016078545401394,0.10129130129862716,0.1890566348963804,vertical_sway1/gather_10.csv,vertical_sway1/sensor_10.csv
heave,1,11,0.4,0.3960322666666667,0.9999915378763835,0.9999999999989055,700,1207,6100,0.20160783966220763,0.10124178790532366,0.2519244075402707,vertical_sway1/gather_11.csv,vertical_sway1/sensor_11.csv
heave,1,12,0.5,0.4950694074074074,0.9999999681185715,0.9999999999988163,700,1207,6100,0.2016078507477451,0.10180309776290285,0.31667002169463354,vertical_sway1/gather_12.csv,vertical_sway1/sensor_12.csv
heave,1,13,0.6,0.5941255333333333,0.9999230883936645,0.9999999999988031,700,1207,6000,0.20160787402088637,0.10111911518849202,0.37747774008419693,vertical_sway1/gather_13.csv,vertical_sway1/sensor_13.csv
heave,1,14,0.7,0.6928409185185185,0.9997549963229926,0.9999999999988831,700,1207,6100,0.20160784819952215,0.10125882154865531,0.4408047501821242,vertical_sway1/gather_14.csv,vertical_sway1/sensor_14.csv
heave,2,8,0.1,0.09740502592592594,0.9999999794804896,0.9999999999988168,700,1207,6100,0.20160784617193006,0.10421271668840104,0.06377962363998961,vertical_sway2/gather_8.csv,vertical_sway2/sensor_8.csv
heave,2,9,0.2,0.19803217777777776,0.9999996437869376,0.9999999999988637,700,1207,6100,0.20160783445670502,0.10130331120426743,0.12604896174853794,vertical_sway2/gather_9.csv,vertical_sway2/sensor_9.csv
heave,2,10,0.3,0.2970570777777778,0.9999979750331897,0.9999999999988797,570,1207,4100,0.20160785904564435,0.10129133724217027,0.1890567019837336,vertical_sway2/gather_10.csv,vertical_sway2/sensor_10.csv
heave,2,11,0.4,0.3960322962962963,0.9999915373231273,0.9999999999988697,700,1207,6000,0.2016078641497908,0.10124177442541031,0.25192439284563173,vertical_sway2/gather_11.csv,vertical_sway2/sensor_11.csv
heave,2,12,0.5,0.49506937037037035,0.9999999678882547,0.9999999999988707,700,1207,6100,0.20160787202975325,0.10180307080098343,0.3166699141358913,vertical_sway2/gather_12.csv,vertical_sway2/sensor_12.csv
heave,2,13,0.6,0.5941254666666667,0.9999230942660204,0.9999999999988558,700,1207,6100,0.20160783939737273,0.10111911697738644,0.3774777044054649,vertical_sway2/gather_13.csv,vertical_sway2/sensor_13.csv
heave,2,14,0.7,0.6928408925925926,0.9997549948614853,0.9999999999988309,470,1207,3600,0.20160785507712056,0.10125883203787679,0.4408047793495057,vertical_sway2/gather_14.csv,vertical_sway2/sensor_14.csv
heave,3,8,0.1,0.09740434814814815,0.9999999795206379,0.9999999999988101,700,1207,6100,0.20160784768627305,0.10421377022335716,0.0637798246128366,vertical_sway3/gather_8.csv,vertical_sway3/sensor_8.csv
heave,3,9,0.2,0.19803223703703704,0.9999996434002381,0.9999999999988586,700,1207,6200,0.2016078698042574,0.10130331309585322,0.12604900182114886,vertical_sway3/gather_9.csv,vertical_sway3/sensor_9.csv
heave,3,10,0.3,0.2970570888888889,0.9999979751171744,0.9999999999988969,700,1207,6100,0.20160784994369196,0.10129138229524767,0.18905679314518292,vertical_sway3/gather_10.csv,vertical_sway3/sensor_10.csv
heave,3,11,0.4,0.39603231111111115,0.9999915368573942,0.9999999999988626,700,1207,6200,0.201607844345463,0.1012417888030609,0.2519244380461909,vertical_sway3/gather_11.csv,vertical_sway3/sensor_11.csv
heave,3,12,0.5,0.4950693888888889,0.9999999679630842,0.9999999999988448,700,1207,6100,0.20160786198694797,0.10180308925567388,0.3166699833866107,vertical_sway3/gather_12.csv,vertical_sway3/sensor_12.csv
heave,3,13,0.6,0.5941254666666667,0.9999230935231556,0.9999999999987843,700,1207,6100,0.20160782145193976,0.10111917061919255,0.3774779046503485,vertical_sway3/gather_13.csv,vertical_sway3/sensor_13.csv
heave,3,14,0.7,0.6928409185185185,0.9997549965373094,0.9999999999988155,700,1207,6100,0.20160785517370758,0.10125878521934006,0.44080459203160943,vertical_sway3/gather_14.csv,vertical_sway3/sensor_14.csv
pitch,1,22,0.1,0.0977852074074074,0.9999999783856371,0.9999999999976684,700,1207,6100,0.20113465931692784,0.17920437777204015,0.11010363177118776,vertical_yaw1/gather_22_ang0.csv,vertical_yaw1/sensor_22_ang0.csv
pitch,1,23,0.2,0.19803201481481483,0.9999996525223408,0.9999999999969095,700,1207,6100,0.20107732257041916,0.17535609801719063,0.21819065575838062,vertical_yaw1/gather_23_ang0.csv,vertical_yaw1/sensor_23_ang0.csv
pitch,1,24,0.3,0.2970644222222222,0.999998074517967,0.9999999999715513,700,1207,6100,0.20145805953325083,0.175333569447054,0.32726200325349075,vertical_yaw1/gather_24_ang0.csv,vertical_yaw1/sensor_24_ang0.csv
pitch,1,25,0.4,0.3960213185185186,0.9999920937954913,0.9999999997863965,700,1207,6100,0.2019522679108095,0.1752536297666671,0.43607928341426494,vertical_yaw1/gather_25_ang0.csv,vertical_yaw1/sensor_25_ang0.csv
pitch,1,26,0.5,0.49507940740740736,0.9999998740773675,0.9999999999973489,700,1207,6100,0.20213688315822947,0.1762284565996481,0.5481895702812052,vertical_yaw1/gather_26_ang0.csv,vertical_yaw1/sensor_26_ang0.csv
pitch,1,27,0.6,0.5941200444444444,0.999920496121767,0.9999999994893655,700,1207,6100,0.2018571886474283,0.17503718736345897,0.6534079276178292,vertical_yaw1/gather_27_ang0.csv,vertical_yaw1/sensor_27_ang0.csv
pitch,1,28,0.7,0.6928438481481481,0.9997539317723848,0.9999999998385756,700,1207,6100,0.20134918740847077,0.17527920894451948,0.7630370710846518,vertical_yaw1/gather_28_ang0.csv,vertical_yaw1/sensor_28_ang0.csv
pitch,2,22,0.1,0.09705407777777779,0.9999999783014802,0.9999999999974776,700,1207,6100,0.20113425547030642,0.1814888192833311,0.11067347102346105,vertical_yaw2/gather_22_ang60.csv,vertical_yaw2/sensor_22_ang60.csv
pitch,2,23,0.2,0.19802569629629632,0.9999996310185897,0.9999999999970172,700,1207,6100,0.2010772087218965,0.17535972004212413,0.21818820068701691,vertical_yaw2/gather_23_ang60.csv,vertical_yaw2/sensor_23_ang60.csv
pitch,2,24,0.3,0.29706612222222223,0.9999979543199435,0.9999999999715382,700,1207,6100,0.20145806573216182,0.1753297819736669,0.3272568066636265,vertical_yaw2/gather_24_ang60.csv,vertical_yaw2/sensor_24_ang60.csv
pitch,2,25,0.4,0.3960247555555556,0.9999919251667705,0.9999999997863876,700,1207,6100,0.20195217386400657,0.17525449302678595,0.4360852161586429,vertical_yaw2/gather_25_ang60.csv,vertical_yaw2/sensor_25_ang60.csv
pitch,2,26,0.5,0.4950687037037037,0.9999998478281843,0.9999999999973176,700,1207,6100,0.20213671403350125,0.17622182055479227,0.5481570761895511,vertical_yaw2/gather_26_ang60.csv,vertical_yaw2/sensor_26_ang60.csv
pitch,2,27,0.6,0.5941386888888889,0.9999256717494737,0.9999999994895812,700,1207,6100,0.20185782553366607,0.1750414805048088,0.6534444592666441,vertical_yaw2/gather_27_ang60.csv,vertical_yaw2/sensor_27_ang60.csv
pitch,2,28,0.7,0.6928290185185184,0.9997556882151517,0.9999999998388591,700,1207,6100,0.2013490247890331,0.17527702304862522,0.76301122345606,vertical_yaw2/gather_28_ang60.csv,vertical_yaw2/sensor_28_ang60.csv
pitch,3,22,0.1,0.09753252222222222,0.9999999787445766,0.9999999999978261,700,1207,6100,0.20113453463248293,0.17996867704381211,0.11028748873319436,vertical_yaw3/gather_22_ang120.csv,vertical_yaw3/sensor_22_ang120.csv
pitch,3,23,0.2,0.19803295555555556,0.9999996291078599,0.9999999999968335,700,1207,6100,0.20107732049039337,0.17536041089538698,0.21819705868009912,vertical_yaw3/gather_23_ang120.csv,vertical_yaw3/sensor_23_ang120.csv
pitch,3,24,0.3,0.2970498,0.999997786695676,0.9999999999717586,700,1207,6100,0.2014578503829567,0.1753408816394209,0.32725954224833603,vertical_yaw3/gather_24_ang120.csv,vertical_yaw3/sensor_24_ang120.csv
pitch,3,25,0.4,0.3960367259259259,0.9999912613410216,0.999999999783806,700,1207,6100,0.20195218822292516,0.1752470353194222,0.4360798398580392,vertical_yaw3/gather_25_ang120.csv,vertical_yaw3/sensor_25_ang120.csv
pitch,3,26,0.5,0.4950648333333333,0.9999998516983936,0.9999999999972843,700,1207,6100,0.20213671428580954,0.17622307509889293,0.5481566931474309,vertical_yaw3/gather_26_ang120.csv,vertical_yaw3/sensor_26_ang120.csv
pitch,3,27,0.6,0.5941344666666667,0.9999252578227023,0.9999999994864289,700,1207,6100,0.201857663168869,0.1750415675667066,0.6534401405974196,vertical_yaw3/gather_27_ang120.csv,vertical_yaw3/sensor_27_ang120.csv
