-1.571017,0.926259,-0.000291,-5.045995,-7.423149,1.763550
-1.591927,0.846492,0.018724,-4.166222,-6.388560,0.233464
-1.639545,0.774301,-0.001115,-5.715553,-7.137866,-0.879857
-1.685883,0.687438,0.040831,-4.551551,-7.572221,-2.926179
-1.697096,0.646303,0.003959,-5.886154,-7.065790,-3.783083
-1.734969,0.560812,0.034414,-4.647283,-7.834586,-4.728034
-1.778143,0.501111,-0.000393,-5.518334,-7.485269,-5.445943
-1.804126,0.453157,0.063280,-4.775344,-9.207988,-6.714642
-1.828315,0.424846,0.025125,-5.719931,-8.158632,-8.468588
-1.851597,0.356549,0.065197,-4.618640,-9.386894,-10.743482
-1.847392,0.346711,0.034686,-5.377284,-8.016479,-12.116819
-1.847842,0.315472,0.066723,-4.247210,-8.262797,-13.403256
-1.834128,0.314579,0.043598,-4.420535,-6.196085,-13.473589
-1.832221,0.299779,0.075270,-4.136598,-8.255464,-13.988173
-1.816629,0.311559,0.016689,-4.405702,-6.737431,-14.166269
-1.812044,0.292810,0.062945,-3.343676,-7.106889,-13.675846
-1.778386,0.333355,0.042715,-3.886693,-6.338635,-14.425673
-1.745945,0.346501,0.077972,-3.623750,-8.039157,-13.219833
-1.727849,0.354540,0.053964,-3.083523,-7.076921,-12.488974
-1.689425,0.373811,0.054430,-2.373436,-7.706909,-10.509115
-1.621803,0.399361,0.045906,-3.205951,-7.222753,-9.249127
-1.548145,0.410820,0.062738,-2.437785,-7.168816,-7.029390
-1.473329,0.457385,0.037864,-2.598562,-6.556867,-6.637155
-1.409745,0.497319,0.059866,-2.329744,-7.272554,-4.600050
-1.366439,0.533626,0.023588,-2.543618,-4.373849,-4.027694
-1.313067,0.592631,0.034775,-2.772555,-6.283444,-2.044382
-1.257531,0.618858,0.027554,-2.659379,-5.141454,-0.700810
-1.195526,0.660621,0.028617,-2.608282,-5.840331,1.921085
-1.171147,0.703660,0.030698,-2.702356,-5.852085,3.190020
-1.116170,0.740141,0.020861,-2.992032,-5.742402,5.622600
-1.075202,0.773458,0.014319,-2.950374,-4.910006,6.136790
-1.028099,0.819615,0.027517,-3.689556,-5.583148,7.648826
-0.965138,0.839533,0.027977,-2.243239,-4.078663,7.994678
