8242070 504000 0 0 1404200 0 0 0 0 0 -1086805 0 -0.306800000136718154 32 0 -2 
8242110 503994 0 -0.469760223699267954 1404189 -1 -1.13471859716810286 0 0 0 -1086805 0 -0.306800000136718154 32 0 -2 
8242150 503956 -1 -0.892377327661961317 1404119 -3 -3.2003949424251914 0 0 0 -1086805 0 -0.306800000136718154 27 0 3 
8242190 503880 -3 -0.650098663987591863 1403980 -4 -6.29200238594785333 0 0 0 -1086804 0 -1.30680000013671815 32 0 -2 
8242230 503769 -4 -1.55737770110135898 1403773 -5 -9.18592319753952324 0 0 0 -1086805 0 -0.306800000136718154 32 0 -2 
8242270 503623 -4 -2.4286679076612927 1403499 -8 -10.6585396472364664 0 0 0 -1086805 0 -0.306800000136718154 31 0 -1 
8242310 503442 -6 -2.07842275185976177 1403162 -10 -12.4862340039107949 0 0 0 -1086804 0 -1.30680000013671815 26 0 4 
8242350 503229 -7 -2.32109570235479623 1402765 -10 -15.4453885380644351 0 0 0 -1086805 0 -0.306800000136718154 29 0 1 
8242390 502986 -6 -3.97114022757159546 1402308 -12 -17.3123855195008218 0 0 0 -1086805 0 -0.306800000136718154 32 0 -2 
8242430 502711 -8 -3.84300979593535885 1401794 -13 -18.8636072175577283 0 0 0 -1086805 0 -0.306800000136718154 32 0 -2 
8242470 502409 -7 -5.75115787598770112 1401226 -15 -20.8754359025042504 0 0 0 -1086804 0 -1.30680000013671815 26 0 4 
8242510 502076 -10 -4.51003793615382165 1400605 -17 -22.1242538432125002 0 0 0 -1086804 0 -1.30680000013671815 26 0 4 
8242550 501719 -9 -5.93410344491712749 1399935 -17 -24.3864433111157268 0 0 0 -1086805 0 -0.306800000136718154 33 0 -3 
8242590 501336 -8 -6.83780787064461038 1399216 -19 -25.4383865741547197 0 0 0 -1086805 0 -0.306800000136718154 28 0 2 
8242630 500927 -11 -6.03560468199430034 1398452 -20 -27.0564659032970667 0 0 0 -1086805 0 -0.306800000136718154 31 0 -1 
8242670 500496 -11 -6.34194734739139676 1397645 -21 -29.0170635681133717 0 0 0 -1086805 0 -0.306800000136718154 28 0 2 
