3.369598,-0.900228,0.076655,2.646399,10.432415,1.264110
3.456687,-0.831333,0.041507,2.738747,12.481910,-0.582088
3.522376,-0.775233,0.046332,2.827317,12.707052,-2.001726
3.613177,-0.715017,0.046992,3.017944,13.475342,-3.280164
3.672071,-0.650159,0.057814,3.617399,12.501010,-4.434030
3.722804,-0.601608,0.094032,3.570395,10.443998,-5.194838
3.776373,-0.530849,0.072739,3.734943,11.636835,-5.553634
3.839567,-0.476928,0.061946,3.596385,12.031594,-7.513962
3.886243,-0.443067,0.062577,3.100028,12.282602,-8.758089
3.929985,-0.419752,0.058641,3.103090,12.804326,-9.591879
3.981411,-0.389944,0.085948,3.539724,12.916096,-9.757512
4.024693,-0.344127,0.080509,2.734847,12.576922,-9.491318
4.063061,-0.300028,0.064766,2.075668,14.014413,-9.859554
4.095702,-0.269308,0.020689,1.567083,15.739899,-10.455939
4.131004,-0.256293,0.042816,1.602869,15.563855,-10.826879
4.178813,-0.278620,0.058004,2.324555,16.231243,-10.921741
4.229346,-0.324265,0.071902,2.262041,14.494236,-10.804731
4.287649,-0.345194,0.046502,2.737607,15.745790,-10.107000
4.306368,-0.386395,0.056829,2.194732,15.752460,-9.110817
4.315103,-0.436154,0.055565,2.369745,15.086670,-8.227256
4.333846,-0.479512,0.054564,3.164564,15.595652,-6.460141
4.345630,-0.545515,0.076648,4.228176,14.993269,-5.818307
4.361737,-0.603795,0.092332,3.797313,13.260749,-4.234650
4.399150,-0.643854,0.065124,3.207942,13.915648,-2.815840
4.415405,-0.701139,0.069785,3.069938,13.620429,-1.455724
4.424044,-0.749276,0.048518,2.916291,14.079858,-0.411599
4.432411,-0.789515,0.064077,3.532138,15.252109,0.451519
4.429378,-0.835824,0.078470,2.932296,14.555198,2.290955
4.429043,-0.873992,0.075181,2.766825,15.158586,4.710292
4.433353,-0.924535,0.081615,2.420534,15.039817,6.158179
4.411528,-0.972735,0.072903,2.092691,15.179649,7.103679
4.385827,-1.008195,0.053524,1.642672,16.164680,7.710013
4.353757,-1.049967,0.053517,1.876612,15.482848,7.045053
4.330915,-1.080330,0.087109,2.260529,15.333268,8.060014
4.298984,-1.108217,0.104227,2.358171,15.246483,8.910568
4.260261,-1.133233,0.080656,2.001958,14.829955,9.897083
4.204184,-1.146320,0.078769,2.166536,14.538836,9.657758
4.147562,-1.146418,0.071524,2.511314,14.296313,9.314743
4.087024,-1.133984,0.100101,2.667577,13.231480,9.290269
4.015772,-1.105286,0.104999,2.823319,12.410113,8.883870
3.949627,-1.073886,0.122051,2.660323,12.386551,8.270614
3.885640,-1.029511,0.104375,2.082565,11.332465,8.149025
3.805377,-0.985227,0.102169,2.265295,12.660743,7.203113
3.700228,-0.928293,0.117794,2.137703,11.904542,6.593571
3.614350,-0.859034,0.126013,2.096768,11.545968,7.075230
3.542166,-0.779156,0.127415,2.044393,12.144757,6.686919
3.456153,-0.708941,0.119809,1.496380,12.077372,6.188689
3.371298,-0.625688,0.116599,0.963768,11.923649,4.795085
3.290048,-0.534890,0.073359,0.948439,14.547453,4.558454
3.182627,-0.432819,0.085714,0.435804,12.532860,3.864195
3.087614,-0.337910,0.110083,1.048567,12.019775,3.181298
3.021020,-0.243041,0.115880,1.045642,11.515081,2.151881
2.943623,-0.156250,0.100640,0.432397,10.682139,0.882725
2.864201,-0.086567,0.084014,0.051529,10.522058,-1.051965
2.765682,-0.024513,0.114209,0.437127,9.842859,-2.651131
2.670196,0.068577,0.118043,0.930976,8.525538,-3.802235
2.587482,0.139823,0.109167,1.623679,8.569818,-4.945264
