780351511 504000 0 0 1404200 0 0 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780351551 503993 0 0.530239776300732046 1404198 0 -0.0224530994892120361 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780351591 503955 -3 0.107622672338038683 1404186 -1 -0.0333991567604243755 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780351631 503881 -2 -1.65009866398759186 1404164 0 -1.71533373091369867 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780351671 503770 -2 -2.55737770110135898 1404128 -2 -0.697653866140171885 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780351711 503623 -4 -2.4286679076612927 1404083 -1 -1.60975660779513419 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780351751 503443 -5 -3.07842275185976177 1404027 -1 -2.08103900076821446 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780351791 503230 -6 -3.32109570235479623 1403961 -2 -2.74089808948338032 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780351831 502985 -8 -2.97114022757159546 1403885 -1 -3.21873091976158321 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780351871 502711 -8 -3.84300979593535885 1403799 -3 -3.14393453625962138 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780351911 502408 -8 -4.75115787598770112 1403704 -3 -3.14590598363429308 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780351951 502076 -10 -4.51003793615382165 1403601 -3 -3.85404230724088848 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780351991 501718 -11 -4.93410344491712749 1403489 -3 -3.89774055196903646 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352031 501336 -8 -6.83780787064461038 1403369 -3 -3.90639776224270463 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780352071 500928 -9 -7.03560468199430034 1403242 -3 -4.50941098388284445 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352111 500496 -11 -6.34194734739139676 1403108 -3 -5.33617726154625416 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352151 500044 -11 -7.57128933508647606 1402966 -4 -5.01609363965690136 0 0 0 2213659 0 1.3903999999165535 34 0 -1 
780352191 499570 -12 -7.53808411379577592 1402818 -4 -5.17855716403573751 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352231 499076 -13 -7.05678515182808042 1402664 -4 -5.45296487887389958 0 0 0 2213659 0 1.3903999999165535 34 0 -1 
780352271 498566 -12 -8.94184591784141958 1402504 -5 -5.46871382999233902 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352311 498036 -13 -8.00771988008636981 1402339 -4 -5.85520106134936213 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352351 497491 -14 -8.06886050716275349 1402169 -4 -6.24182361853308976 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780352391 496932 -13 -8.93972126749577001 1401994 -4 -6.25797854620032012 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780352431 496359 -13 -9.43475562962703407 1401814 -6 -5.53306288970634341 0 0 0 2213659 0 1.3903999999165535 34 0 -1 
780352471 495772 -15 -8.36841706180712208 1401631 -6 -5.69647369394078851 0 0 0 2213659 0 1.3903999999165535 34 0 -1 
780352511 495175 -15 -8.5551590328104794 1401445 -5 -6.37760800332762301 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352551 494568 -16 -8.80943501077126712 1401255 -5 -6.20586286345496774 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352591 493953 -14 -9.94569846446393058 1401063 -4 -6.81063531944528222 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352631 493328 -17 -8.77840286219725385 1400868 -5 -6.82132241525687277 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780352671 492698 -16 -9.12200167245464399 1400671 -5 -6.8673211969435215 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352711 492063 -16 -9.79094836371950805 1400472 -6 -6.578028708929196 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780352751 491424 -14 -10.5996964044752531 1400272 -6 -6.58284199587069452 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352791 490780 -17 -9.36269926308887079 1400071 -6 -6.51115810382179916 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352831 490136 -16 -9.89441040821839124 1399870 -5 -6.9923740760423243 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352871 489491 -16 -10.0092833081143908 1399668 -5 -6.65588695928454399 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352911 488847 -15 -10.5217714314348996 1399467 -5 -7.13109379704110324 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780352951 488204 -15 -10.2463282464887016 1399266 -5 -7.04739163536578417 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780352991 487563 -16 -8.99740722187561914 1399066 -5 -7.03417751891538501 0 0 0 2213659 0 1.3903999999165535 34 0 -1 
780353031 486928 -16 -9.58946182602085173 1398867 -5 -6.72084849257953465 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353071 486297 -17 -8.83694552729139104 1398670 -5 -6.73680160078220069 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780353111 485674 -16 -9.55431179428705946 1398475 -5 -6.71143388957716525 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353151 485058 -15 -9.55601409549126402 1398283 -4 -7.27414240292273462 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353191 484450 -16 -8.65650589921278879 1398093 -4 -7.05432418640702963 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353231 483853 -15 -8.67024067405145615 1397905 -6 -5.68137628445401788 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353271 483268 -14 -9.41167188849067315 1397722 -5 -5.78469574265182018 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353311 482694 -14 -8.69525301083922386 1397543 -5 -5.99367960565723479 0 0 0 2213659 0 1.3903999999165535 34 0 -1 
780353351 482134 -14 -8.33543750969693065 1397368 -5 -5.93772491859272122 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353391 481589 -13 -8.14667885360540822 1397197 -5 -5.24622872611507773 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353431 481060 -13 -7.94343051081523299 1397032 -4 -5.54858807288110256 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353471 480548 -12 -7.54014594998443499 1396872 -4 -5.47420000494457781 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353511 480054 -13 -6.75127863942179829 1396718 -4 -5.65246156603097916 0 0 0 2213659 0 1.3903999999165535 32 0 1 
780353551 479580 -13 -6.39128204784356058 1396569 -4 -4.71276980242691934 0 0 0 2213659 0 1.3903999999165535 34 0 -1 
780353591 479127 -11 -6.2746096434420906 1396428 -3 -5.28452175762504339 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353631 478696 -11 -6.21571489481721073 1396293 -3 -4.9971144781447947 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353671 478288 -9 -6.02905127045232803 1396165 -3 -4.4799450074788183 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353711 477904 -9 -5.52907223871443421 1396044 -4 -3.36241039168089628 0 0 0 2213659 0 1.3903999999165535 34 0 -1 
780353751 477545 -10 -4.53023126820335165 1395932 -3 -3.27390767517499626 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353791 477215 -7 -5.84698182722786441 1395829 -2 -3.84383390285074711 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353831 476911 -6 -5.29377738444600254 1395734 -2 -3.70158612006343901 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353871 476635 -7 -3.68507140805013478 1395647 -2 -2.47656137123703957 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353911 476391 -5 -3.83531736681470647 1395571 -2 -2.79815670219250023 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353951 476177 -6 -2.55896872916491702 1395504 -1 -2.29576915712095797 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780353991 475996 -6 -1.67047896335134283 1395448 0 -2.59879578091204166 0 0 0 2213659 0 1.3903999999165535 33 0 0 
780354031 475850 -3 -1.98430153803201392 1395401 -1 -1.33663361938670278 0 0 0 2213659 0 1.3903999999165535 33 0 0 
