trajectory,disturbance,num_curves,position_rmse,position_mae,max_position_error,velocity_rmse,mean_water_current_norm,max_water_current_norm,eval_damping_scale,eval_thruster_scale,eval_thruster_tau_scale,eval_deadband_scale,run,checkpoint,checkpoint_name,summary_path,logs_path
helix,nominal,1,2.4871791280801485,2.2788765973065166,4.331936836242676,0.2374679184056774,0.0,0.0,1.0,1.0,1.0,1.0,2026-07-15_23-25-05_trajectory,37,model_37.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-25-05_trajectory/model_37_helix_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-25-05_trajectory/model_37_helix_trajectory_eval/logs.csv
lissajous,nominal,1,2.054099783452105,1.828861331451917,3.2785043716430664,0.235824355775544,0.0,0.0,1.0,1.0,1.0,1.0,2026-07-15_23-25-05_trajectory,37,model_37.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-25-05_trajectory/model_37_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-25-05_trajectory/model_37_trajectory_eval/logs.csv
spiral,nominal,1,2.17991253508623,1.914191712940737,3.656956911087036,0.2211839264017317,0.0,0.0,1.0,1.0,1.0,1.0,2026-07-15_23-25-05_trajectory,37,model_37.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-25-05_trajectory/model_37_spiral_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-25-05_trajectory/model_37_spiral_trajectory_eval/logs.csv
