dof,repeat,file_id,nominal_frequency_hz,estimated_frequency_hz,timing_group,gather_file,sensor_file,status,exclusion_reason,gather_rows,sensor_rows,required_sensor_rows,paired_rows,motion_fit_r2,u_mean_m_s,surge_force_mean_n,surge_force_oscillatory_rms_n,q_amplitude,condition_raw,sensor_time_shift_ms,quality_flag
sway,3,12,0.5,0.4950689372,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway3/gather_12.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway3/sensor_12.csv,included,,1207,6100,4751,700,0.999999967,0.2016078698,-0.934700016,1.4920592,0.3158681669,10.06537901,0,ok
sway,3,13,0.6,0.5940458436,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway3/gather_13.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway3/sensor_13.csv,included,,1207,6100,4751,700,0.9999129768,0.2016078283,-1.146518309,1.792914796,0.378003233,10.22599513,0,ok
sway,3,14,0.7,0.6929789663,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway3/gather_14.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_sway3/sensor_14.csv,included,,1207,6300,4751,700,0.9997720777,0.2016078497,-1.297449491,2.145036792,0.4414764834,9.796553095,0,ok
heave,1,8,0.1,0.102,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/gather_8.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/sensor_8.csv,included,,1207,6000,4751,700,0.9999999803,0.2016078237,0.641466882,1.693535202,0.0500628307,8.189544335,0,frequency_search_boundary
heave,1,9,0.2,0.1979924917,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/gather_9.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/sensor_9.csv,included,,1207,6100,4751,700,0.9999996436,0.2016078662,0.4725574309,1.965105154,0.1260036458,10.40419079,0,ok
heave,1,10,0.3,0.2970635543,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/gather_10.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/sensor_10.csv,included,,1207,6100,4751,700,0.9999981879,0.2016078566,0.6783925426,2.183365345,0.1889404023,10.25558445,0,ok
heave,1,11,0.4,0.3960912353,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/gather_11.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/sensor_11.csv,included,,1207,6100,4751,700,0.9999921261,0.2016078446,0.8183243266,1.45178684,0.2522548653,9.467674679,0,ok
heave,1,12,0.5,0.4950689751,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/gather_12.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/sensor_12.csv,included,,1207,6100,4751,700,0.9999999669,0.2016078631,0.8345507531,2.63061311,0.3158685003,10.06532726,0,ok
heave,1,13,0.6,0.5940458822,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/gather_13.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/sensor_13.csv,included,,1207,6000,4751,700,0.9999129804,0.2016078728,1.281069115,2.673374758,0.3780030126,10.22599812,0,ok
heave,1,14,0.7,0.6929789903,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/gather_14.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway1/sensor_14.csv,included,,1207,6100,4751,700,0.9997720809,0.2016078515,0.8598135434,2.421198647,0.4414769457,9.796528273,0,ok
heave,2,8,0.1,0.102,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/gather_8.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/sensor_8.csv,included,,1207,6100,4751,700,0.9999999802,0.201607832,0.4329123151,1.857517428,0.05006307364,8.189523808,0,frequency_search_boundary
heave,2,9,0.2,0.1979923852,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/gather_9.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_sway2/sensor_9.csv,included,,1207,6100,4751,700,0.9999996436,0.2016078381,0.4815733017,1.523719587,0.1260038771,10.40416235,0,ok
