trajectory,disturbance,num_curves,position_rmse,position_mae,max_position_error,velocity_rmse,mean_water_current_norm,max_water_current_norm,eval_damping_scale,eval_thruster_scale,eval_thruster_tau_scale,eval_deadband_scale,run,checkpoint,checkpoint_name,summary_path,logs_path
chirp,nominal,1,0.6753639847752942,0.6577662206772947,0.8857111930847168,0.2799277931444023,0.0,0.0,1.0,1.0,1.0,1.0,2026-07-15_23-55-55_trajectory,50,model_50.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_chirp_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_chirp_trajectory_eval/logs.csv
helix,nominal,1,0.6949251409165055,0.6704322367400164,0.900272011756897,0.1400142826960806,0.0,0.0,1.0,1.0,1.0,1.0,2026-07-15_23-55-55_trajectory,50,model_50.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_helix_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_helix_trajectory_eval/logs.csv
lissajous,nominal,1,0.6680687985579369,0.6504447523038834,0.8820021152496338,0.215697239733844,0.0,0.0,1.0,1.0,1.0,1.0,2026-07-15_23-55-55_trajectory,50,model_50.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_trajectory_eval/logs.csv
racetrack,nominal,1,0.6613165651726386,0.6321804762439569,0.908133029937744,0.1314638071286442,0.0,0.0,1.0,1.0,1.0,1.0,2026-07-15_23-55-55_trajectory,50,model_50.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_racetrack_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_racetrack_trajectory_eval/logs.csv
random_smooth,nominal,8,0.6025414765570413,0.5799061083120614,0.946190595626831,0.1469307007482223,0.0,0.0,1.0,1.0,1.0,1.0,2026-07-15_23-55-55_trajectory,50,model_50.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_random_smooth_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_random_smooth_trajectory_eval/logs.csv
spiral,nominal,1,0.7282742091579152,0.6907141464642337,1.0037000179290771,0.1494579434608752,0.0,0.0,1.0,1.0,1.0,1.0,2026-07-15_23-55-55_trajectory,50,model_50.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_spiral_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/eupauv_traj_direct/2026-07-15_23-55-55_trajectory/model_50_spiral_trajectory_eval/logs.csv
