trajectory,num_curves,position_rmse,position_mae,max_position_error,velocity_rmse,run,checkpoint,checkpoint_name,summary_path,logs_path
helix,1,0.2805680177840475,0.1848550295117699,1.5,0.2002667630713403,2026-06-19_15-24-17,250,model_250.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_250_helix_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_250_helix_trajectory_eval/logs.csv
helix,1,0.2684736617018948,0.1778757680576139,1.5,0.201452186831282,2026-06-19_15-24-17,300,model_300.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_300_helix_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_300_helix_trajectory_eval/logs.csv
helix,1,0.2966239995879935,0.2266899522665577,1.5,0.2060198807460815,2026-06-19_15-24-17,350,model_350.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_350_helix_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_350_helix_trajectory_eval/logs.csv
helix,1,0.2970556875885871,0.2227232977903137,1.5,0.2035114103843861,2026-06-19_15-24-17,400,model_400.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_400_helix_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_400_helix_trajectory_eval/logs.csv
lissajous,1,2.0439644209576606,1.8403847804719893,3.311123371124268,0.6085137241238409,2026-06-19_15-24-17,0,model_0.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_0_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_0_trajectory_eval/logs.csv
lissajous,1,0.6415462890084863,0.5891463963785403,1.056346416473389,0.274249731737719,2026-06-19_15-24-17,50,model_50.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_50_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_50_trajectory_eval/logs.csv
lissajous,1,0.509055074358475,0.4634478173053746,0.9854468107223512,0.2689943262617533,2026-06-19_15-24-17,100,model_100.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_100_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_100_trajectory_eval/logs.csv
lissajous,1,0.2923033272353823,0.2783031566878586,0.4299326539039612,0.1993674798842003,2026-06-19_15-24-17,150,model_150.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_150_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_150_trajectory_eval/logs.csv
lissajous,1,0.3007384963824052,0.280068253360514,0.5499351620674133,0.1772165506208783,2026-06-19_15-24-17,200,model_200.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_200_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_200_trajectory_eval/logs.csv
lissajous,1,0.1821210809701682,0.1700945523868237,0.3131292462348938,0.1407160168237111,2026-06-19_15-24-17,250,model_250.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_250_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_250_trajectory_eval/logs.csv
lissajous,1,0.1940737240023285,0.1840086058267237,0.3308738470077514,0.1420069510251831,2026-06-19_15-24-17,300,model_300.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_300_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_300_trajectory_eval/logs.csv
lissajous,1,0.2424615922065497,0.2328385258976292,0.3249601721763611,0.1790022622855639,2026-06-19_15-24-17,350,model_350.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_350_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_350_trajectory_eval/logs.csv
lissajous,1,0.2505883077034763,0.2392143181724047,0.3595776259899139,0.1496659125484051,2026-06-19_15-24-17,400,model_400.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_400_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_400_trajectory_eval/logs.csv
racetrack,1,2.0080177406192714,1.8729538740279772,3.2085676193237305,0.5142329481025597,2026-06-19_15-24-17,0,model_0.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_0_racetrack_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_0_racetrack_trajectory_eval/logs.csv
racetrack,1,0.57398859303946,0.530734746165884,1.0606601238250732,0.2006421575743039,2026-06-19_15-24-17,50,model_50.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_50_racetrack_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_50_racetrack_trajectory_eval/logs.csv
racetrack,1,0.5072831647230901,0.4652043532269696,1.0606601238250732,0.1954143276648185,2026-06-19_15-24-17,100,model_100.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_100_racetrack_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_100_racetrack_trajectory_eval/logs.csv
racetrack,1,0.3382389324311988,0.3035444280520702,1.0606601238250732,0.1592176909991185,2026-06-19_15-24-17,150,model_150.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_150_racetrack_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_150_racetrack_trajectory_eval/logs.csv
racetrack,1,0.253103176989618,0.1983777596076834,1.0606601238250732,0.1490912458202373,2026-06-19_15-24-17,200,model_200.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_200_racetrack_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_200_racetrack_trajectory_eval/logs.csv
racetrack,1,0.2207517078382478,0.1759379958656306,1.0606601238250732,0.1587419423823124,2026-06-19_15-24-17,250,model_250.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_250_racetrack_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_250_racetrack_trajectory_eval/logs.csv
racetrack,1,0.2291566387454898,0.1756002816468632,1.0606601238250732,0.1460430995608618,2026-06-19_15-24-17,300,model_300.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_300_racetrack_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_300_racetrack_trajectory_eval/logs.csv
racetrack,1,0.247841633610895,0.2106590810678123,1.0606601238250732,0.1737903692827936,2026-06-19_15-24-17,350,model_350.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_350_racetrack_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_350_racetrack_trajectory_eval/logs.csv
racetrack,1,0.2482083215697097,0.2023853597075988,1.0606601238250732,0.1502996670003214,2026-06-19_15-24-17,400,model_400.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_400_racetrack_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_400_racetrack_trajectory_eval/logs.csv
random_smooth,8,2.1522160522118625,1.908942064972749,4.107132911682129,0.3523144111414944,2026-06-19_15-24-17,0,model_0.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_0_random_smooth_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_0_random_smooth_trajectory_eval/logs.csv
random_smooth,8,0.5403519093857168,0.5096554272723248,1.3743733167648315,0.1510713899890283,2026-06-19_15-24-17,50,model_50.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_50_random_smooth_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_50_random_smooth_trajectory_eval/logs.csv
random_smooth,8,0.4416050459202382,0.4017139180320858,1.3724520206451416,0.1445941087386771,2026-06-19_15-24-17,100,model_100.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_100_random_smooth_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_100_random_smooth_trajectory_eval/logs.csv
random_smooth,8,0.2800578053534758,0.2454201411332178,1.370240330696106,0.13458600013147,2026-06-19_15-24-17,150,model_150.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_150_random_smooth_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_150_random_smooth_trajectory_eval/logs.csv
random_smooth,8,0.2390469395622691,0.2138775466818818,1.3676851987838743,0.1245003719149584,2026-06-19_15-24-17,200,model_200.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_200_random_smooth_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_200_random_smooth_trajectory_eval/logs.csv
random_smooth,8,0.170121966856565,0.1310163787228399,1.3674371242523191,0.1274971221256355,2026-06-19_15-24-17,250,model_250.pt,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_250_random_smooth_trajectory_eval/summary_metrics.csv,/home/jining_yang/IsaacLab/source/results/rsl_rl/warpauv_traj_direct/2026-06-19_15-24-17/model_250_random_smooth_trajectory_eval/logs.csv
